"","rownames.filtered.","expres"
"1","TSPAN1",2.60756114734496
"2","H2AC18",2.55041047527469
"3","EFNA1",2.42447532342743
"4","NUF2",1.83095353178103
"5","CTSE",2.65414336340643
"6","DTL",1.75977303062504
"7","CENPF",1.96713729604367
"8","CAPN9",1.80374724573659
"9","KCNK1",2.36811485498145
"10","EXO1",1.70951029515894
"11","GALE",2.16828438330411
"12","AL139260.3",1.31928230161208
"13","STIL",1.8405987216234
"14","FRRS1",2.42165995951003
"15","EPS8L3",2.13434040165514
"16","RNA5SP55",1.66069644544605
"17","H2AC18",2.55041047527469
"18","H2BC21",2.54894961736349
"19","H2AC21",2.67051935909141
"20","MTMR11",2.27134999377812
"21","GAS5",1.15384668388239
"22","ASPM",1.87780382941921
"23","UBE2T",1.8659213392659
"24","CDK1",1.60028713564877
"25","CEP55",1.94389137049486
"26","CYP2C18",1.91487012637378
"27","AL583836.1",1.72795976151663
"28","MKI67",2.12979990146624
"29","MUC5B",2.21055681349871
"30","FOLH1",1.61709602186827
"31","TMPRSS4",2.18435258578818
"32","TMEM45B",2.25733954942287
"33","OR52N5",1.46030305753808
"34","FOLH1",1.62656445605361
"35","PARPBP",1.49614288258485
"36","LMO7",2.63142121070519
"37","SKA3",1.57239383115645
"38","DIAPH3",1.67969654148415
"39","CDKN3",1.69141247948335
"40","AKAP5",1.45056449358684
"41","GSKIP",2.07718731914587
"42","POLE2",1.61543470842322
"43","DLGAP5",1.84388461967381
"44","GPX2",2.36428173609232
"45","RNU6-419P",1.38017622075861
"46","ARHGAP11A",1.97500530492148
"47","BUB1B",1.92960923196232
"48","AC087721.2",1.99280321940441
"49","CKMT1B",2.32660839886027
"50","CKMT1B",2.37202885872245
"51","CCNB2",1.89177137566633
"52","CHRNA5",2.1400214285389
"53","ABHD17C",2.49323997089378
"54","FANCI",2.09370213965216
"55","AC087632.2",1.94703094100373
"56","SEMA7A",2.23480813336458
"57","PRC1",2.28875266880965
"58","Z69890.1",1.70241610042039
"59","ANKS4B",1.8317006588827
"60","CENPN",2.03537432806973
"61","BCO1",1.63546341796204
"62","PLA2G10",2.03022666752314
"63","ERN2",2.09311429541016
"64","RNU6-22P",1.88499719266485
"65","GINS2",1.73195663851921
"66","RAPGEFL1",2.16337164538264
"67","CDC6",1.84296634719102
"68","RNU6-928P",1.33335888865632
"69","RNU6-227P",1.99574106698522
"70","SPAG5",1.77836556040234
"71","TOP2A",2.23922147008601
"72","KRT19",2.67503755623059
"73","BRIP1",1.75773927399255
"74","DTNA",2.15983532153135
"75","DHFRP1",2.26004827934363
"76","MISP",2.32151267159839
"77","CYP4F3",1.93655070695034
"78","AC020907.6",2.79896091236482
"79","CEACAM6",2.71040129988995
"80","FUT2",2.0595765798818
"81","RHPN2",2.53029803058656
"82","SLC6A16",1.93580483679812
"83","DHFRP1",1.84047864004496
"84","IGKV1-13",2.12302613084773
"85","GALNT5",2.34014857460357
"86","RNA5SP119",2.03225437610657
"87","SGPP2",2.50877667442356
"88","MATN3",2.19446851441715
"89","IGKV2-40",1.1282925495998
"90","AJ239322.1",1.28314992497814
"91","TTN",2.19182127230198
"92","CCDC141",1.99165489513213
"93","CST1",2.61394428417891
"94","FER1L4",2.11201262650935
"95","BCAS1",2.1923259825669
"96","TFF1",2.61945831218504
"97","KDELR3",2.36204122360658
"98","ECT2",2.29959795486466
"99","ITIH4",2.24989947524431
"100","RN7SL582P",1.79296605125259
"101","B4GALT4",2.41969859841456
"102","ADCY5",2.22101256181085
"103","MUC13",2.55416179112724
"104","NCAPG",2.05679926570117
"105","SHROOM3",2.19966357829133
"106","AC013477.2",1.43603655511218
"107","MSMO1",2.45306627843853
"108","NEIL3",1.71612190180418
"109","CORIN",1.97081980991227
"110","RNU6-158P",1.47057709886207
"111","ELOVL6",1.98280602219806
"112","CCNA2",2.09795202705672
"113","CENPU",1.74627994333141
"114","CCNB1",2.22623351521387
"115","XRCC4",2.16729845399311
"116","KIF20A",1.67937883709806
"117","HMMR",1.61538653918306
"118","ESM1",1.81998607467488
"119","CENPK",1.90786612411367
"120","STARD4",2.45893197531746
"121","H2BC5",2.03865978393335
"122","H3C10",1.80663155079137
"123","TTK",1.54998868949283
"124","ACAT2",2.15569027428334
"125","H3C2",1.84204030101479
"126","H2AC4",1.77793191968303
"127","H2BC4",1.79540305971766
"128","H1-3",1.88312506332671
"129","H2AC14",1.9071901022633
"130","H1-5",2.1722542337671
"131","H3C11",2.6830558638218
"132","SLC44A4",2.7123658017053
"133","ADGRF1",2.04442130933612
"134","C1GALT1",2.10928626638214
"135","AQP1",2.67476945729677
"136","HAUS6P1",2.16486042608206
"137","MUC3A",2.19271112052555
"138","AKR1B10",1.82161244013616
"139","AGMO",1.74401602356207
"140","AGR2",2.4756527909531
"141","AGR3",1.58303885925249
"142","WNT2",1.86970124780858
"143","MTND1P27",1.26948726067014
"144","NCAPG2",2.25485124284899
"145","CDCA2",1.58673252026184
"146","ESCO2",1.45231072215775
"147","AC009879.3",2.268278781247
"148","FER1L6",1.95962022257185
"149","SQLE",2.71630455525625
"150","PBK",1.60643627829399
"151","GGH",2.13206236967959
"152","TRPA1",1.37038593178764
"153","SAMD12",2.26204273910526
"154","VLDLR",2.63079836297999
"155","MELK",2.08555140246481
"156","CKS2",2.15260232360389
"157","MLLT3",2.23454337807189
"158","RNA5SP282",2.14595705967702
"159","CTSV",1.88656251616041
"160","CORO2A",2.01692900718811
"161","TNFSF15",1.9480202193871
"162","Y_RNA",0.553341953907403
"163","SLC6A14",2.0940041414573
"164","BRCC3",2.1617543427401
"165","TRIM31",2.00379740327084
"166","SLC44A4",2.7123658017053
"167","ZNRD1",2.18333784957841
"168","SLC44A4",2.7123658017053
